bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
2042926,1600784,2025-08-31,House,"House Committee Do Pass",7,5,0,0,12
2042926,1600788,2025-09-01,House,"House Third Reading",35,8,0,17,60
2042939,1600785,2025-08-31,House,"House Committee Be Adopted",12,0,0,0,12
2042939,1600786,2025-09-01,House,"House Read and Adopted",48,0,0,12,60
2042950,1600783,2025-08-31,House,"House Committee Do pass with amendments. (Printed A-Eng.)",7,5,0,0,12
2042950,1600787,2025-09-01,House,"House Third Reading",36,12,0,12,60
