bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
2017314,2180,HB187,1,Introduced,2025-03-31,"Increases the rate of excise tax on consumable hemp products (OR +$3,600,000 SD RV See Note)","Increases the rate of excise tax on consumable hemp products (OR +$3,600,000 SD RV See Note)",1176,"House Ways and Means",2025-04-14,"Read by title, under the rules, referred to the Committee on Ways and Means.",https://legiscan.com/LA/bill/HB187/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB187&sbi=y
2017212,2180,HB188,4,Passed,2025-06-08,"Authorizes a local sales tax exemption for certain adaptive driving equipment and vehicle modifications (EN -$83,000 LF RV See Note)","Authorizes a local sales tax exemption for certain adaptive driving equipment and vehicle modifications (EN -$83,000 LF RV See Note)",0,,2025-06-08,"Effective date: 08/01/2025.",https://legiscan.com/LA/bill/HB188/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB188&sbi=y
2017067,2180,HB189,4,Passed,2025-05-28,"Provides relative to certain retirees of the East Carroll Parish Sheriff's Dept. (EN NO IMPACT LF EX See Note)","Provides relative to certain retirees of the East Carroll Parish Sheriff's Dept. (EN NO IMPACT LF EX See Note)",0,,2025-05-28,"Effective date: 08/01/2025.",https://legiscan.com/LA/bill/HB189/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB189&sbi=y
2017342,2180,HB190,1,Introduced,2025-03-31,"Provides relative to classified service of employees of the New Orleans Sewerage and Water Board","Provides relative to classified service of employees of the New Orleans Sewerage and Water Board",1168,"House Municipal",2025-04-14,"Read by title, under the rules, referred to the Committee on Municipal, Parochial and Cultural Affairs.",https://legiscan.com/LA/bill/HB190/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB190&sbi=y
2017111,2180,HB191,4,Passed,2025-06-04,"Provides relative to the Lakewood Crime Prevention and Improvement District in Orleans Parish","Provides relative to the Lakewood Crime Prevention and Improvement District in Orleans Parish",0,,2025-06-04,"Effective date: 06/04/2025.",https://legiscan.com/LA/bill/HB191/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB191&sbi=y
2017436,2180,HB192,4,Passed,2025-06-11,"Provides relative to the French Quarter Management District in the city of New Orleans","Provides relative to the French Quarter Management District in the city of New Orleans",0,,2025-06-11,"Effective date: 08/01/2025.",https://legiscan.com/LA/bill/HB192/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB192&sbi=y
2017076,2180,HB193,2,Engrossed,2025-05-20,"Provides relative to lawsuit procedures for incarcerated individuals","Provides relative to lawsuit procedures for incarcerated individuals",1184,"Senate Judiciary A",2025-05-21,"Read second time by title and referred to the Committee on Judiciary A.",https://legiscan.com/LA/bill/HB193/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB193&sbi=y
2017233,2180,HB194,1,Introduced,2025-03-31,"Authorizes an income tax deduction for certain taxpayers' overtime compensation (OR DECREASE GF RV See Note)","Authorizes an income tax deduction for certain taxpayers' overtime compensation (OR DECREASE GF RV See Note)",1176,"House Ways and Means",2025-04-14,"Read by title, under the rules, referred to the Committee on Ways and Means.",https://legiscan.com/LA/bill/HB194/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB194&sbi=y
2017095,2180,HB195,1,Introduced,2025-03-31,"Authorizes an income tax deduction for certain amounts of tip income (OR DECREASE GF RV See Note)","Authorizes an income tax deduction for certain amounts of tip income (OR DECREASE GF RV See Note)",1176,"House Ways and Means",2025-04-14,"Read by title, under the rules, referred to the Committee on Ways and Means.",https://legiscan.com/LA/bill/HB195/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB195&sbi=y
2017846,2180,HB196,4,Passed,2025-06-04,"Authorizes the lease of certain state property in Jefferson Parish","Authorizes the lease of certain state property in Jefferson Parish",0,,2025-06-04,"Effective date: 06/04/2025.",https://legiscan.com/LA/bill/HB196/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB196&sbi=y
2017835,2180,HB197,1,Introduced,2025-04-01,"Expands application of medical malpractice to include physical therapist assistants and occupational therapist assistants","Expands application of medical malpractice to include physical therapist assistants and occupational therapist assistants",1165,"House Civil Law and Procedure",2025-04-14,"Read by title, under the rules, referred to the Committee on Civil Law and Procedure.",https://legiscan.com/LA/bill/HB197/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB197&sbi=y
2017793,2180,HB198,1,Introduced,2025-04-01,"Authorizes an income tax deduction for tip income earned by taxpayers at or below certain income levels (OR DECREASE GF RV See Note)","Authorizes an income tax deduction for tip income earned by taxpayers at or below certain income levels (OR DECREASE GF RV See Note)",1176,"House Ways and Means",2025-04-14,"Read by title, under the rules, referred to the Committee on Ways and Means.",https://legiscan.com/LA/bill/HB198/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB198&sbi=y
